,review_text,verified_purchase,word_count
0,get older know like suitabl bodi like dove give fresh wide awak feel dandruff flakey smelli pit,True,17
1,three gigant marmit jar last probabl whole life els would possibl wish order came time mention safe pack happi,True,19
2,excel,True,1
3,great flavour top slow cook,True,5
4,say,False,1
5,excel item good men,False,4
6,thank happi,True,2
7,beauti,True,1
8,alway buy big bottl,True,4
9,alway heavili mistreat hair work wonder time time,True,8
10,great valu,True,2
11,one pictur get star regular one awesom peopl dri,True,9
12,item describ excel qualiti rapid deliveri great irrit red blemish,True,10
13,good bodi wash strong smell,True,5
14,great,True,1
15,worth,True,1
16,rememb tri friend hous year ago ive month one ill buy,False,11
17,great,True,1
18,best antiperspir unless like go work snow drift arm,True,9
19,love,True,1
20,die eat one u die content man love u em,False,10
21,love rang bodi lotion u greasi easi appli soak quickli leav feel super soft moisturis great valu money scent fresh light great go beauti essenti bathroom cupboard review collect part promot,False,31
22,suffer dri sensit vaselin one make flare itch like crazi first thing notic beauti fresh smell escap lift cap appli drop instantli felt sooth relief easili moisturis absorb effortlessli greasi unlik alot moisturis tri everi day improv dri condit massiv recommend enough absolut love review collect part promot,False,48
23,absolut love stuff leav love linger fragranc smell time open wardrob cloth drawer get everyth clean realli well remind kid mum put freshli launder cloth love,True,26
24,happi,True,1
25,love wash cashmer sweater home save lot money compar take cloth dri cleaner everi week happi purchas,True,17
26,prior receiv pretti rough elbow particular feel dri busi mum two admit sometim neglect may empathis trial gave perfect opportun reconnect bit u cme time u day bath shower smother must admit first time put u sure smell u offens u like cucumb smell although u alo tend smell perfum time howev day actual like smell applic went nice thick soak pretti quickli u feel sticki alway morn wash even even bedtim feel notic softer rough elbow gone verdict thumb ye continu thank fab trial introduc vaselin alo review collect part promot,False,92
27,happi item,True,2
28,realli like textur almost like gel realli light easili absorb leav feel soft fresh without weight thicker cream would buy review collect part promot,False,24
29,smell nice,True,2
30,great deal tresem shampoo give long last suppli need keep buy good price,True,13
31,great valu,True,2
32,love comfort,True,2
33,horribl,False,1
34,great buy,True,2
35,love contain easi pour refil nother automat liquid futur thick gloopi hard econom scent smell like wear wash may love rins,True,21
36,wash shark well,True,3
37,excel,True,1
38,good pleasant smell deoder boy love christma,True,7
39,deliv quickli decent shampoo star one bottl leak deliv,True,9
40,lot make brand past bought expens make remov none ever remov mascara eye shadow foundat base etc gentli well simpl cleans lotion consist runni squeez bottl appropri onto cotton wool ideal control much dispens also great tidi eyelin mascara error appli spars cotton wool bud alway keep bathroom cabinet pay,False,50
41,sure big jar cost doubl size though,False,7
42,got offer cloth come soft smell great last long time genuin well,True,12
43,amaz buy last month smelt amaz neighbour even ask buy one,True,11
44,great buy smell gorgeou,True,4
45,textur like bath shower,True,4
46,share famili,True,2
47,love even better deal,True,4
48,great,True,1
49,bought item give gift advertis dove moisturis deepli nourish bodi wash receiv dove idratant bagnodoccia di belleza languag cannot read even less distinct fragranc,True,24
50,good price nice smell overpow leav white powderi mess like anti perspir happi,True,13
51,good wipe good buy,True,4
52,nice fragranc seem last cloth,True,5
